event_index,group,is_drifted,profile,session_id,user_id
0,C,0,browser,sess_0,user_87
1,A,0,browser,sess_1,user_0
2,A,0,browser,sess_1,user_0
3,A,0,browser,sess_1,user_0
4,C,0,hunter,sess_2,user_72
5,C,0,hunter,sess_2,user_72
6,A,0,browser,sess_3,user_25
7,A,0,browser,sess_3,user_25
8,A,0,browser,sess_3,user_25
9,C,0,buyer,sess_4,user_85
10,C,0,buyer,sess_4,user_85
11,C,0,buyer,sess_4,user_85
12,C,0,buyer,sess_4,user_85
13,C,0,buyer,sess_4,user_85
14,C,0,buyer,sess_4,user_85
15,B,0,browser,sess_5,user_49
16,B,0,browser,sess_5,user_49
17,B,0,browser,sess_6,user_61
18,B,0,browser,sess_6,user_61
19,B,0,browser,sess_6,user_61
20,B,0,hunter,sess_7,user_40
21,B,0,hunter,sess_7,user_40
22,B,0,hunter,sess_7,user_40
23,B,0,hunter,sess_8,user_38
24,B,0,hunter,sess_8,user_38
25,B,0,hunter,sess_8,user_38
26,B,0,hunter,sess_8,user_38
27,B,0,hunter,sess_8,user_38
28,A,0,buyer,sess_9,user_19
29,A,0,buyer,sess_9,user_19
30,A,0,buyer,sess_9,user_19
31,A,0,buyer,sess_9,user_19
32,A,0,buyer,sess_9,user_19
33,A,0,buyer,sess_9,user_19
34,A,0,buyer,sess_9,user_19
35,A,0,buyer,sess_9,user_19
36,B,0,buyer,sess_10,user_51
37,B,0,buyer,sess_10,user_51
38,B,0,buyer,sess_10,user_51
39,B,0,buyer,sess_10,user_51
40,B,0,buyer,sess_10,user_51
41,B,0,buyer,sess_10,user_51
42,B,0,buyer,sess_10,user_51
43,B,0,buyer,sess_10,user_51
44,B,0,buyer,sess_10,user_51
45,B,0,buyer,sess_10,user_51
46,B,0,buyer,sess_10,user_51
47,B,0,buyer,sess_10,user_51
48,B,0,buyer,sess_10,user_51
49,B,0,browser,sess_11,user_59
50,B,0,browser,sess_12,user_54
51,B,0,browser,sess_13,user_35
52,B,0,hunter,sess_14,user_40
53,B,0,hunter,sess_14,user_40
54,B,0,hunter,sess_14,user_40
55,B,0,hunter,sess_14,user_40
56,B,0,hunter,sess_14,user_40
57,B,0,hunter,sess_14,user_40
58,B,0,hunter,sess_14,user_40
59,B,0,hunter,sess_14,user_40
60,B,0,hunter,sess_14,user_40
61,B,0,hunter,sess_14,user_40
62,A,0,buyer,sess_15,user_16
63,A,0,buyer,sess_15,user_16
64,A,0,buyer,sess_15,user_16
65,C,0,browser,sess_16,user_87
66,C,0,browser,sess_16,user_87
67,C,0,browser,sess_16,user_87
68,C,0,browser,sess_16,user_87
69,C,0,browser,sess_16,user_87
70,A,0,buyer,sess_17,user_23
71,A,0,buyer,sess_17,user_23
72,A,0,buyer,sess_17,user_23
73,A,0,buyer,sess_17,user_23
74,A,0,buyer,sess_17,user_23
75,A,0,buyer,sess_17,user_23
76,B,0,browser,sess_18,user_61
77,B,0,browser,sess_18,user_61
78,C,0,buyer,sess_19,user_70
79,C,0,buyer,sess_19,user_70
80,C,0,buyer,sess_19,user_70
81,C,0,buyer,sess_19,user_70
82,C,0,buyer,sess_19,user_70
83,C,0,buyer,sess_19,user_70
84,C,0,buyer,sess_19,user_70
85,C,0,buyer,sess_19,user_70
86,C,0,buyer,sess_19,user_70
87,C,0,buyer,sess_19,user_70
88,C,0,buyer,sess_19,user_70
89,C,0,buyer,sess_19,user_70
90,C,0,buyer,sess_19,user_70
91,C,0,buyer,sess_19,user_70
92,C,0,buyer,sess_19,user_70
93,C,0,buyer,sess_19,user_70
94,C,0,buyer,sess_19,user_70
95,C,0,buyer,sess_19,user_70
96,C,0,buyer,sess_19,user_70
97,C,0,buyer,sess_19,user_70
98,C,0,buyer,sess_19,user_70
99,A,0,buyer,sess_20,user_19
100,A,0,buyer,sess_20,user_19
101,A,0,buyer,sess_20,user_19
102,A,0,buyer,sess_20,user_19
103,A,0,buyer,sess_20,user_19
104,A,0,buyer,sess_20,user_19
105,A,0,buyer,sess_20,user_19
106,A,0,buyer,sess_20,user_19
107,A,0,buyer,sess_20,user_19
